sample,copies,ct_value,type,traget
ctrl_1.1,770,22.23228836,Standard curve,IPS1
ctrl_1.2,770,22.40987015,Standard curve,IPS1
ctrl_1.3,770,22.19190979,Standard curve,IPS1
ctrl_2.1,77,25.68858719,Standard curve,IPS1
ctrl_2.2,77,25.71468163,Standard curve,IPS1
ctrl_2.3,77,25.64800644,Standard curve,IPS1
ctrl_3.1,7.7,29.17103767,Standard curve,IPS1
ctrl_3.2,7.7,28.3888607,Standard curve,IPS1
ctrl_3.3,7.7,29.38491821,Standard curve,IPS1
ctrl_4.1,0.77,31.43208313,Standard curve,IPS1
ctrl_4.2,0.77,32.57752991,Standard curve,IPS1
ctrl_4.3,0.77,30.60727692,Standard curve,IPS1
ctrl_5.1,0.077,35.32031059,Standard curve,IPS1
ctrl_5.2,0.077,34.9764534,Standard curve,IPS1
ctrl_5.3,0.077,35.38622665,Standard curve,IPS1
Pond1_1.1,,31.87411499,Pond1_1,IPS1
Pond1_1.2,,31.72235107,Pond1_1,IPS1
Pond1_1.3,,31.37097168,Pond1_1,IPS1
Pond1_2.1,,30.10252571,Pond1_2,IPS1
Pond1_2.2,,29.76618385,Pond1_2,IPS1
Pond1_2.3,,29.4455986,Pond1_2,IPS1
Pond1_3.1,,30.86227036,Pond1_3,IPS1
Pond1_3.2,,31.83544159,Pond1_3,IPS1
Pond1_3.3,,30.7383728,Pond1_3,IPS1
Pond2_1.1,,29.53748703,Pond2_1,IPS1
Pond2_1.2,,29.17038918,Pond2_1,IPS1
Pond2_1.3,,29.52673149,Pond2_1,IPS1
Pond2_2.1,,29.1703949,Pond2_2,IPS1
Pond2_2.2,,29.78529549,Pond2_2,IPS1
Pond2_2.3,,29.76370239,Pond2_2,IPS1
Pond2_3.1,,30.53045464,Pond2_3,IPS1
Pond2_3.2,,20.23133087,Pond2_3,IPS1
Pond2_3.3,,30.06560707,Pond2_3,IPS1
Pond3_1.1,,29.78313065,Pond3_1,IPS1
Pond3_1.2,,29.52078438,Pond3_1,IPS1
Pond3_1.3,,29.6538353,Pond3_1,IPS1
Pond3_2.1,,30.96424675,Pond3_2,IPS1
Pond3_2.2,,30.28768921,Pond3_2,IPS1
Pond3_2.3,,31.05073166,Pond3_2,IPS1
Pond3_3.1,,31.29612732,Pond3_3,IPS1
Pond3_3.2,,31.61870193,Pond3_3,IPS1
Pond3_3.3,,31.34700012,Pond3_3,IPS1
Pond4_1.1,,30.86450195,Pond4_1,IPS1
Pond4_1.2,,30.45505905,Pond4_1,IPS1
Pond4_1.3,,30.75095749,Pond4_1,IPS1
Pond4_2.1,,29.86839294,Pond4_2,IPS1
Pond4_2.2,,29.28499794,Pond4_2,IPS1
Pond4_2.3,,30.10604858,Pond4_2,IPS1
Pond4_3.1,,29.11957359,Pond4_3,IPS1
Pond4_3.2,,28.84000015,Pond4_3,IPS1
Pond4_3.3,,29.00174332,Pond4_3,IPS1
Pond5_1.1,,31.53377342,Pond5_1,IPS1
Pond5_1.2,,31.71123505,Pond5_1,IPS1
Pond5_1.3,,32.1145134,Pond5_1,IPS1
Pond5_2.1,,32.63267136,Pond5_2,IPS1
Pond5_2.2,,32.30647278,Pond5_2,IPS1
Pond5_2.3,,32.32014847,Pond5_2,IPS1
Pond5_3.1,,33.98204422,Pond5_3,IPS1
Pond5_3.2,,33.92272186,Pond5_3,IPS1
Pond5_3.3,,33.8610878,Pond5_3,IPS1
