sample,copies,ct_value,type
ctrl_1.1,77000,15.94123077,Standard curve
ctrl_1.2,77000,15.91097164,Standard curve
ctrl_1.3,77000,15.79249954,Standard curve
ctrl_2.1,7700,19.63494492,Standard curve
ctrl_2.2,7700,19.58620834,Standard curve
ctrl_2.3,7700,19.63833618,Standard curve
ctrl_3.1,770,23.58209419,Standard curve
ctrl_3.2,770,22.93255424,Standard curve
ctrl_3.3,770,23.23792839,Standard curve
ctrl_4.1,77,27.31735039,Standard curve
ctrl_4.2,77,27.32494164,Standard curve
ctrl_4.3,77,27.65411949,Standard curve
ctrl_5.1,7.7,31.22739029,Standard curve
ctrl_5.2,7.7,30.51397896,Standard curve
ctrl_5.3,7.7,29.64400673,Standard curve
L100-1.1,,25.7939949,L100-1
L100-1.2,,25.89095116,L100-1
L100-1.3,,26.46757126,L100-1
L100-2.1,,26.09816551,L100-2
L100-2.2,,26.15462303,L100-2
L100-2.3,,26.21209717,L100-2
L100-3.1,,25.81564713,L100-3
L100-3.2,,26.13519096,L100-3
L100-3.3,,25.95344734,L100-3
L150-1.1,,26.77765656,L150-1
L150-1.2,,27.29469299,L150-1
L150-1.3,,26.89710426,L150-1
L150-2.1,,27.27276993,L150-2
L150-2.2,,26.65649986,L150-2
L150-2.3,,28.66975594,L150-2
L150-3.1,,27.19010353,L150-3
L150-3.2,,26.37729454,L150-3
L150-3.3,,26.42420387,L150-3
M100-1.1,,28.38311005,M100-1
M100-1.2,,28.75834656,M100-1
M100-1.3,,28.52207184,M100-1
M100-2.1,,28.62429619,M100-2
M100-2.2,,28.73421478,M100-2
M100-2.3,,28.28037643,M100-2
M100-3.1,,28.62989235,M100-3
M100-3.2,,28.56698799,M100-3
M100-3.3,,28.31079865,M100-3
M150-1.1,,28.89999771,M150-1
M150-1.2,,28.36118317,M150-1
M150-1.3,,28.32470322,M150-1
M150-2.1,,28.70197487,M150-2
M150-2.2,,28.83147812,M150-2
M150-2.3,,28.32323456,M150-2
M150-3.1,,28.612257,M150-3
M150-3.2,,28.53183937,M150-3
M150-3.3,,28.78068733,M150-3
H100-1.1,,27.74890327,H100-1
H100-1.2,,27.95022011,H100-1
H100-1.3,,27.55172348,H100-1
H100-2.1,,28.41533279,H100-2
H100-2.2,,28.44444847,H100-2
H100-2.3,,28.86937904,H100-2
H100-3.1,,28.25371361,H100-3
H100-3.2,,28.3788681,H100-3
H100-3.3,,27.90353012,H100-3
H150-1.1,,29.63092422,H150-1
H150-1.2,,28.76070213,H150-1
H150-1.3,,29.05578804,H150-1
H150-2.1,,29.37317467,H150-2
H150-2.2,,29.20678902,H150-2
H150-2.3,,29.44783401,H150-2
H150-3.1,,28.3431282,H150-3
H150-3.2,,28.93810844,H150-3
H150-3.3,,29.13259315,H150-3
