sample,copies,ct_value,type
ctrl_1.1,7700,17.76654243,Standard curve
ctrl_1.2,7700,18.03552818,Standard curve
ctrl_1.3,7700,17.62684059,Standard curve
ctrl_2.1,770,20.99725151,Standard curve
ctrl_2.2,770,20.76965904,Standard curve
ctrl_2.3,770,21.641119,Standard curve
ctrl_3.1,77,24.6389389,Standard curve
ctrl_3.2,77,24.90614128,Standard curve
ctrl_3.3,77,24.79280663,Standard curve
ctrl_4.1,7.7,25.82452774,Standard curve
ctrl_4.2,7.7,28.88328934,Standard curve
ctrl_4.3,7.7,28.46866989,Standard curve
ctrl_5.1,0.77,31.87326431,Standard curve
ctrl_5.2,0.77,29.55218697,Standard curve
ctrl_5.3,0.77,31.36998558,Standard curve
L200-1.1,,26.88750267,L200-1
L200-2.1,,27.1130085,L200-2
L200-3.1,,24.70985794,L200-3
M200-1.1,,28.30031204,M200-1
M200-2.1,,27.9165535,M200-2
M200-3.1,,27.32725334,M200-3
H200-1.1,,28.92083359,H200-1
H200-2.1,,28.37959862,H200-2
H200-3.1,,28.62588692,H200-3
L200-1.2,,25.34074402,L200-1
L200-2.2,,26.99074936,L200-2
L200-3.2,,24.89566612,L200-3
M200-1.2,,27.61956787,M200-1
M200-2.2,,27.07011604,M200-2
M200-3.2,,27.42210197,M200-3
H200-1.2,,28.61883163,H200-1
H200-2.2,,27.83079529,H200-2
H200-3.2,,28.42615318,H200-3
L200-1.3,,26.60920143,L200-1
L200-2.3,,27.21436119,L200-2
L200-3.3,,26.46095085,L200-3
M200-1.3,,28.15760803,M200-1
M200-2.3,,26.63967514,M200-2
M200-3.3,,28.25939941,M200-3
H200-1.3,,28.71919632,H200-1
H200-2.3,,28.27027702,H200-2
H200-3.3,,28.28707695,H200-3
