,IPS1,IPS2-1,IPS2-2,IPS2-3,Mylopharyngodon_piceus,Hypophthalmichthys_nobilis,Paramisgurnus_dabryanus,Channa_argus,Other
L100-1,272,25,67,369,3847,2103,1310,5345,65
L100-2,121,10,31,90,2090,1417,776,2421,63
L100-3,248,15,56,166,2869,1536,1019,4070,78
M100-1,18,12,47,143,637,769,3214,1746,18
M100-2,38,29,49,82,1413,1708,8797,4151,31
M100-3,53,5,50,248,846,965,3863,2324,26
H100-1,22,7,18,46,1899,1650,2534,3716,270
H100-2,22,13,75,264,2940,2824,4511,6523,518
H100-3,16,25,46,91,1883,1921,3151,4512,310
L150-1,92,33,54,143,2441,1561,674,2187,149
L150-2,316,54,63,169,6095,3105,2233,9790,109
L150-3,153,17,54,164,3565,2079,1007,4261,60
M150-1,25,2,24,111,1078,1277,5320,2987,43
M150-2,43,13,73,183,1588,1918,7254,2682,114
M150-3,55,15,58,148,1908,2276,10513,3872,28
H150-1,54,28,33,184,3686,3755,4803,8370,1006
H150-2,33,9,19,57,2404,2328,4842,7483,382
H150-3,15,10,20,43,2065,2182,3054,5321,459
L200-1,32,16,44,97,1863,1429,523,1802,43
L200-2,38,10,41,168,1907,1433,751,2225,86
L200-3,71,24,75,215,2960,1634,780,3671,46
M200-1,19,8,20,78,1057,1276,6833,2699,10
M200-2,29,6,49,145,2532,2949,17325,12151,60
M200-3,7,25,76,288,1583,2032,9349,4157,11
H200-1,85,19,33,50,3275,3371,5810,8998,541
H200-2,85,15,37,73,3676,3403,5282,9829,609
H200-3,19,22,56,137,2686,2828,4592,7851,489
Ctrl-none-1,0,1,0,2,3,1,0,0,21
Ctrl-none-2,0,1,0,1,4,1,2,2,94
Ctrl-none-3,1,1,1,3,6,2,2,2,249
Ctrl-PCR1-1,0,57,59,243,0,1,0,4,2
Ctrl-PCR1-2,0,44,124,195,4,0,4,5,0
Ctrl-PCR1-3,0,47,43,114,1,2,3,1,17
Ctrl-PCR2-1,1,45,50,140,1,2,5,1,4
Ctrl-PCR2-2,0,33,73,267,2,2,7,3,42
Ctrl-PCR2-3,3,54,75,133,6,1,3,1,40
Ctrl-1,24,50,79,207,2,4,1,1,12
Ctrl-2,20,14,100,228,1,7,9,2,25
Ctrl-3,74,32,130,277,4,6,3,3,896
