sample,copies,ct_value,sample,plate
ctrl_1.1,7700,18.58399582,Standard curve,plate1
ctrl_1.2,7700,18.393713,Standard curve,plate1
ctrl_1.3,7700,18.66591644,Standard curve,plate1
ctrl_2.1,770,22.33040047,Standard curve,plate1
ctrl_2.2,770,22.63305473,Standard curve,plate1
ctrl_2.3,770,22.39898491,Standard curve,plate1
ctrl_3.1,77,25.67041206,Standard curve,plate1
ctrl_3.2,77,25.66469383,Standard curve,plate1
ctrl_3.3,77,25.68045616,Standard curve,plate1
ctrl_4.1,7.7,28.69145203,Standard curve,plate1
ctrl_4.2,7.7,28.58955002,Standard curve,plate1
ctrl_4.3,7.7,29.28120422,Standard curve,plate1
ctrl_5.1,0.77,31.987234,Standard curve,plate1
ctrl_5.2,0.77,31.9606514,Standard curve,plate1
ctrl_5.3,0.77,32.01224518,Standard curve,plate1
YCS01-LT.1,,Undetermined,YCS01-LT,plate1
YCS01-LT.2,,Undetermined,YCS01-LT,plate1
YCS01-LT.3,,Undetermined,YCS01-LT,plate1
YCS01-LM.1,,30.51177216,YCS01-LM,plate1
YCS01-LM.2,,28.82318497,YCS01-LM,plate1
YCS01-LM.3,,29.60503197,YCS01-LM,plate1
YCS01-LB.1,,30.0113678,YCS01-LB,plate1
YCS01-LB.2,,30.07991219,YCS01-LB,plate1
YCS01-LB.3,,29.34155464,YCS01-LB,plate1
YCS01-MT.1,,30.52047729,YCS01-MT,plate1
YCS01-MT.2,,29.43095398,YCS01-MT,plate1
YCS01-MT.3,,28.84790611,YCS01-MT,plate1
YCS01-MM.1,,Undetermined,YCS01-MM,plate1
YCS01-MM.2,,Undetermined,YCS01-MM,plate1
YCS01-MM.3,,Undetermined,YCS01-MM,plate1
YCS01-MB.1,,29.74372673,YCS01-MB,plate1
YCS01-MB.2,,29.4392395,YCS01-MB,plate1
YCS01-MB.3,,29.73713493,YCS01-MB,plate1
YCS01-RT.1,,Undetermined,YCS01-RT,plate1
YCS01-RT.2,,30.82723618,YCS01-RT,plate1
YCS01-RT.3,,31.26458549,YCS01-RT,plate1
YCS01-RM.1,,30.18953133,YCS01-RM,plate1
YCS01-RM.2,,29.34261322,YCS01-RM,plate1
YCS01-RM.3,,29.53198051,YCS01-RM,plate1
YCS01-RB.1,,Undetermined,YCS01-RB,plate1
YCS01-RB.2,,30.34685707,YCS01-RB,plate1
YCS01-RB.3,,30.47954559,YCS01-RB,plate1
YCS02-LT.1,,Undetermined,YCS02-LT,plate1
YCS02-LT.2,,32.2825737,YCS02-LT,plate1
YCS02-LT.3,,30.94855499,YCS02-LT,plate1
YCS02-RT.1,,Undetermined,YCS02-RT,plate1
YCS02-RT.2,,29.55572891,YCS02-RT,plate1
YCS02-RT.3,,29.58555031,YCS02-RT,plate1
YCS03-LT.1,,31.38564491,YCS03-LT,plate1
YCS03-LT.2,,29.6979084,YCS03-LT,plate1
YCS03-LT.3,,29.55089569,YCS03-LT,plate1
YCS03-RT.1,,29.27449799,YCS03-RT,plate1
YCS03-RT.2,,29.08869743,YCS03-RT,plate1
YCS03-RT.3,,28.95163345,YCS03-RT,plate1
YCS04-LT.1,,Undetermined,YCS04-LT,plate1
YCS04-LT.2,,Undetermined,YCS04-LT,plate1
YCS04-LT.3,,Undetermined,YCS04-LT,plate1
ctrl_1.1,7700,18.56930733,Standard curve,plate2
ctrl_1.2,7700,18.52175713,Standard curve,plate2
ctrl_1.3,7700,18.49782753,Standard curve,plate2
ctrl_2.1,770,22.19370079,Standard curve,plate2
ctrl_2.2,770,22.32427979,Standard curve,plate2
ctrl_2.3,770,22.06910706,Standard curve,plate2
ctrl_3.1,77,25.52709579,Standard curve,plate2
ctrl_3.2,77,25.83475876,Standard curve,plate2
ctrl_3.3,77,25.30644798,Standard curve,plate2
ctrl_4.1,7.7,28.58612633,Standard curve,plate2
ctrl_4.2,7.7,28.65940666,Standard curve,plate2
ctrl_4.3,7.7,28.97820282,Standard curve,plate2
ctrl_5.1,0.77,29.86157227,Standard curve,plate2
ctrl_5.2,0.77,31.1979866,Standard curve,plate2
ctrl_5.3,0.77,31.62365532,Standard curve,plate2
YCS04-RT.1,,31.26172447,YCS04-RT,plate2
YCS04-RT.2,,30.63834763,YCS04-RT,plate2
YCS04-RT.3,,32.2923584,YCS04-RT,plate2
YCS05-LT.1,,29.46354675,YCS05-LT,plate2
YCS05-LT.2,,28.85431671,YCS05-LT,plate2
YCS05-LT.3,,28.36230087,YCS05-LT,plate2
YCS05-RT.1,,29.38416672,YCS05-RT,plate2
YCS05-RT.2,,29.28234291,YCS05-RT,plate2
YCS05-RT.3,,28.88737488,YCS05-RT,plate2
YCS06-LT.1,,Undetermined,YCS06-LT,plate2
YCS06-LT.2,,28.59765816,YCS06-LT,plate2
YCS06-LT.3,,29.06614494,YCS06-LT,plate2
YCS06-RT.1,,29.71686935,YCS06-RT,plate2
YCS06-RT.2,,29.54114723,YCS06-RT,plate2
YCS06-RT.3,,28.83133888,YCS06-RT,plate2
YCS07-LT.1,,29.7450676,YCS07-LT,plate2
YCS07-LT.2,,29.41091537,YCS07-LT,plate2
YCS07-LT.3,,28.71652222,YCS07-LT,plate2
YCS07-RT.1,,Undetermined,YCS07-RT,plate2
YCS07-RT.2,,30.01686859,YCS07-RT,plate2
YCS07-RT.3,,29.36892319,YCS07-RT,plate2
YCS08-LT.1,,31.54724312,YCS08-LT,plate2
YCS08-LT.2,,30.63153267,YCS08-LT,plate2
YCS08-LT.3,,29.69597626,YCS08-LT,plate2
YCS08-RT.1,,Undetermined,YCS08-RT,plate2
YCS08-RT.2,,Undetermined,YCS08-RT,plate2
YCS08-RT.3,,Undetermined,YCS08-RT,plate2
YCS09-LT.1,,Undetermined,YCS09-LT,plate2
YCS09-LT.2,,Undetermined,YCS09-LT,plate2
YCS09-LT.3,,Undetermined,YCS09-LT,plate2
YCS09-RT.1,,29.63558197,YCS09-RT,plate2
YCS09-RT.2,,29.91339111,YCS09-RT,plate2
YCS09-RT.3,,30.26173401,YCS09-RT,plate2
YCS10-LT.1,,Undetermined,YCS10-LT,plate2
YCS10-LT.2,,29.23186874,YCS10-LT,plate2
YCS10-LT.3,,29.21554375,YCS10-LT,plate2
YCS10-RT.1,,Undetermined,YCS10-RT,plate2
YCS10-RT.2,,29.35552406,YCS10-RT,plate2
YCS10-RT.3,,28.20139313,YCS10-RT,plate2
YCS11-LT.1,,28.60160637,YCS11-LT,plate2
YCS11-LT.2,,29.23309898,YCS11-LT,plate2
YCS11-LT.3,,28.30873871,YCS11-LT,plate2
YCS11-RT.1,,29.32929039,YCS11-RT,plate2
YCS11-RT.2,,28.91376495,YCS11-RT,plate2
YCS11-RT.3,,28.21173859,YCS11-RT,plate2
YCS12-LT.1,,Undetermined,YCS12-LT,plate2
YCS12-LT.2,,Undetermined,YCS12-LT,plate2
YCS12-LT.3,,Undetermined,YCS12-LT,plate2
YCS12-RT.1,,30.62805176,YCS12-RT,plate2
YCS12-RT.2,,31.03862,YCS12-RT,plate2
YCS12-RT.3,,32.09959412,YCS12-RT,plate2
YCS13-LT.1,,Undetermined,YCS13-LT,plate2
YCS13-LT.2,,Undetermined,YCS13-LT,plate2
YCS13-LT.3,,Undetermined,YCS13-LT,plate2
YCS13-LM.1,,Undetermined,YCS13-LM,plate2
YCS13-LM.2,,Undetermined,YCS13-LM,plate2
YCS13-LM.3,,Undetermined,YCS13-LM,plate2
YCS13-LB.1,,Undetermined,YCS13-LB,plate2
YCS13-LB.2,,Undetermined,YCS13-LB,plate2
YCS13-LB.3,,Undetermined,YCS13-LB,plate2
ctrl_1.1,770,22.55375481,Standard curve,plate3
ctrl_1.2,770,22.34274864,Standard curve,plate3
ctrl_1.3,770,22.34851265,Standard curve,plate3
ctrl_2.1,77,25.84965706,Standard curve,plate3
ctrl_2.2,77,25.73899841,Standard curve,plate3
ctrl_2.3,77,26.13606071,Standard curve,plate3
ctrl_3.1,7.7,29.31983948,Standard curve,plate3
ctrl_3.2,7.7,29.0656662,Standard curve,plate3
ctrl_3.3,7.7,28.79645538,Standard curve,plate3
ctrl_4.1,0.77,29.6619873,Standard curve,plate3
