site,longitude,latitude,raw,calibrated,raw(noLL),calibrated(noLL)
S01,118.537,31.893,3259,118636,2859,106390
S02,118.742,32.121,10369,290426,9247,222654
S03,118.95,32.182,2934,208387,1724,124913
S04,119.074,32.231,15451,4589856,611,181501
S05,119.37,32.215,86964,1079592,3941,51306
S06,119.548,32.233,37028,1388158,1948,64206
S07,119.626,32.2,26738,959777,2148,127385
S08,119.797,32.325,4148,691214,873,145477
S09,119.852,32.273,4676,108497,407,9442
S10,119.98,32.006,5447,198979,779,26693
S11,120.256,31.942,3304,37812,985,11270
S12,120.327,31.958,963,50053,615,31966
S13,120.492,32.036,226,156925,196,136334
S14,120.731,32.015,1505,210581,1400,204370
S15,120.819,31.97,5548,697222,3713,466616
S16,121.044,31.788,1212,227553,942,144886
S17,121.121,31.739,390,10502,375,10086
S18,121.354,31.558,539,4732,465,4196
S19,121.776,31.699,2383,24749,2298,23534
